3-d;"etando mísátoabbreviation"
counter;"litángele"
counterclockwise;"ngunda ya likongá"
counterfeit;"ya píli tɛ̂"
country code;"kɔdɛ ya ekólo"
country;"ekólo"
covariance;""
cover;""
cpu / central processing unit;"bɔngɔ́ mokonzi"
cpu load;""
cpu;""
crash;"lotɛmɛ"
create a new contact;""
create a new launcher;""
create a new memo;""
create a new task;""
create document;""
create folder;""
create launcher;""
create rule;""
create search folder from search;""
create;"kokela"
created;"ekélámí"
creating image;""
creation;""
creator;"mokéli"
credential;""
credentials;"lifélansi"
credit card;"kálati ya krédi"
credit;"litómba"
credits;""
criteria range;""
criteria;"klítɛlɛ"
critical error;""
critical;"ya bokébi"
crop tool;""
crop;"kolíya kolíya"
cross-platform;""
cross-post;""
cross-posting;"kotínda bisíká nzíké"
cross-reference;"lifélansi likútani"
crypt;""
cryptography;"kripitogafi"
cryptology;""
css / cascading style sheets;"nkásá lia likomela, fɛ̂yɛ̂dɛstílɛ"
ctrl;""
cumulative;""
curly bracket;"ekɔ́pi"
currency;"mbɔ́ngɔ"
current cell;"ndáko ekɛ́ ngâ"
current color;""
current document;""
current folder;""
current line;""
current locale;""
current page;"lonkásá ngâ"
current profile;""
current selection;""
current view;""
current window;"lininísa ngâ"
current;"ya sikáwa, ngâ"
cursor position;""
cursor;"motúmbé"
curve;"libúnu"
curved;"egúmbamí"
custom animation;""
custom format;""
custom location;""
custom size;""
custom slide show;""
custom window;""
custom;"ya kosekisa"
customer;"mosómbi"
customization;"bosekisi"
customize;"kosekisa"
customized;"esékísámídecision"
cut and paste;"kokáta pé kobánda"
cut the selection;""
cut;"kokáta"
cyberspace;"Wɛbɛ"
cycle;""
cyrillic/russian;""
cyrillic;""
czech;""
daemon;"démonia"
daily;"ya mokɔlɔ na mokɔlɔ"
damage;""
damaged;"ya kobéba"
dangerous;"ya bosali mabé"
dark;"molílí"
darken;"koyíndisa"
dash line;""
dash;"dashidata"
dashed;"ya tilɛ́"
dasher;""
data capture;""
data entry;"bokɔ́ti ya kabo"
data source;"líziba lia kabo"
data type;"emekeli lia kabodatabase"
data;""
database management;""
database to use;""
database;""
datapilot;""
date & time;""
date and time;""
date format;""
date modified;""
date stamp;""
date/time;""
date;"dáte, mokɔlɔ"
day view;""
day;"mokɔlɔ"
deactivate;"kolálisa"
deal a card;""
deal a new card;""
debug window;""
debug;"kodébogɛ́"
debugger;""
debugging output;""
december;"sánzá ya zómi, desɛ́mbɛ"
decimal place;"desímalɛ"
decimal precision;""
decimal separator;""
decimal;""
decision;""
declare (variable);""
decline;"koboya"
decode;"kodɛkɔdɛ"
decoder;"dékɔdɛ̀rɛ"
decompress;"kofungoa"
decorate;""
decrease;"kokútola"
decrypt;"kodékríptɛ"
decryption;"dɛkrípɛtaze"
dedicated;"o nkómbo yadefault value"
default formatting;""
default height;""
default printer;""
default setting;"palamɛ́tɛlɛ likwá"
default system session;""
default value;""
default width;""
default;"bozángi"
defect;""
defective;""
define range;""
define views;""
